pl_id,pl_maker,pl_model_code,pl_name,pl_model_name,나무위키링크단품,,시리즈
1,apple,A2221,아이폰11,iphone11,https://namu.wiki/w/iPhone%2011,,
2,apple,A2215,아이폰11 Pro,iphone11 Pro,https://namu.wiki/w/iPhone%2011%20Pro,,
3,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,https://namu.wiki/w/iPhone%2011%20Pro%20Max,,`
4,apple,A2097,아이폰Xs,iphoneXs,https://namu.wiki/w/iPhone%20XS,,
5,apple,A2101,아이폰Xs Max,iphoneXs Max,https://namu.wiki/w/iPhone%20XS%20Max,,
6,apple,A2105,아이폰Xr,iphoneXr,https://namu.wiki/w/iPhone%20XR,,
7,apple,A1901,아이폰X,iphoneX,https://namu.wiki/w/iPhone%20X,,
8,apple,A1905,아이폰8,iphone8,https://namu.wiki/w/iPhone%208,,
9,apple,A1897,아이폰8 Plus,iphone8 Plus,https://namu.wiki/w/iPhone%208%20Plus,,
10,apple,A1778,아이폰7,iphone7,https://namu.wiki/w/iPhone%207,,
11,apple,A1784,아이폰7 Plus,iphone7 Plus,https://namu.wiki/w/iPhone%207%20Plus,,
12,apple,A1723,아이폰SE,iphoneSE,https://namu.wiki/w/iPhone%20SE,,
13,apple,A1688,아이폰6s,iphone6s,https://namu.wiki/w/iPhone%206s,,
14,apple,A1687,아이폰6s Plus,iphone6s Plus,https://namu.wiki/w/iPhone%206s%20Plus,,
15,apple,A1586,아이폰6,iphone6,https://namu.wiki/w/iPhone%206,,
16,apple,A1524,아이폰6 Plus,iphone6 Plus,https://namu.wiki/w/iPhone%206%20Plus,,
17,apple,A1530,아이폰5s,iphone5s,https://namu.wiki/w/iPhone%205s,,
18,apple,A1532,아이폰5c,iphone5c,https://namu.wiki/w/iPhone%205c,,
19,apple,A1428,아이폰5,iphone5,https://namu.wiki/w/iPhone%205,,
20,apple,A1387,아이폰4s,iphone4s,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B04s,,
21,apple,A1332,아이폰4,iphone4,https://namu.wiki/w/iPhone%204,,
22,samsung,SM-A908,갤럭시 A90 5G,Galaxy A90 5G,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A90%205G,,
23,samsung,SM-A505,갤럭시 A50,Galaxy A50,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A50,,
24,samsung,SM-A405,갤럭시 A40,Galaxy A40,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A40,,
25,samsung,SM-A305,갤럭시 A30,Galaxy A30,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A30,,
26,samsung,SM-A205,갤럭시 와이드4,Galaxy Wide4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C4,,
27,samsung,SM-G887,갤럭시 A9 Pro,Galaxy A9 Pro,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20Pro?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20%ED%94%84%EB%A1%9C,,
28,samsung,SM-G885,갤럭시 A8 Star,Galaxy A8 Star,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%20Star?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20Star,,
29,samsung,SM-A920,갤럭시 A9 2018,Galaxy A9 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9(2018),,
30,samsung,SM-A530,갤럭시 A8 2018,Galaxy A8 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%202018,,
31,samsung,SM-A600,갤럭시 A6 2018,Galaxy A6 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A6,,
32,samsung,SM-A750,갤럭시 A7 2018,Galaxy A7 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2018),,
33,samsung,SM-A520,갤럭시 A5 2017,Galaxy A5 2017,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A5(2017),,
34,samsung,SM-A810,갤럭시 A8 2016,Galaxy A8 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%202016,,
35,samsung,SM-A310,갤럭시 A3 2016,Galaxy A3 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A3(2016),,
36,samsung,SM-A510,갤럭시 A5 2016,Galaxy A5 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A5(2016),,
37,samsung,SM-A710,갤럭시 A7 2016,Galaxy A7 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2016),,
38,samsung,SM-A800,갤럭시 A8,Galaxy A8,https://namu.wiki/w/SM-A800,,
39,samsung,SM-A500,갤럭시 A5,Galaxy A5,https://namu.wiki/w/SM-A500,,
40,samsung,SM-A300,갤럭시 A3,Galaxy A3,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S%20III?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S3,,
41,samsung,SM-A700,갤럭시 A7,Galaxy A7,https://namu.wiki/w/SM-A700,,
42,samsung,SHW-M100,갤럭시 A,Galaxy A,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A,,
43,samsung,SM-J250,갤럭시 J2 Pro,Galaxy J2 Pro,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J2%20Pro,,
44,samsung,SM-J330,갤럭시 J3 2017,Galaxy J3 2017,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J3(2017),,
45,samsung,SM-J530,갤럭시 J5 2017,Galaxy J5 2017,https://namu.wiki/w/SM-J530,,
46,samsung,SM-J730,갤럭시 J7 2017,Galaxy J7 2017,https://namu.wiki/w/SM-J730,,
47,samsung,SM-J320,갤럭시 J3 2016,Galaxy J3 2016,https://namu.wiki/w/SM-J320,,
48,samsung,SM-J710,갤럭시 J7 2016,Galaxy J7 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7(2016),,
49,samsung,SM-J510,갤럭시 J5 2016,Galaxy J5 2016,https://namu.wiki/w/SM-J510,,
50,samsung,SM-J700,갤럭시 J7,Galaxy J7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J7,,
51,samsung,SM-J600,갤럭시 J6,Galaxy J6,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J6,,
52,samsung,SM-J500,갤럭시 J5,Galaxy J5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J5,,
53,samsung,SM-J415,갤럭시 J4 Plus,Galaxy J4 Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20J4%2B,,
54,samsung,SM-G977,갤럭시S10 5G,GalaxyS10 5G,https://namu.wiki/w/SM-G977,,
55,samsung,SM-G970,갤럭시S10e,GalaxyS10e,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10e?from=%EA%B0%A4%EB%9F%AD%EC%8B%9Cs10e,,
56,samsung,SM-G973,갤럭시S10,GalaxyS10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS10,,
57,samsung,SM-G975,갤럭시S10 Plus,GalaxyS10 Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S10%2B,,
58,samsung,SM-G960,갤럭시S9,GalaxyS9,https://namu.wiki/w/SM-G960,,
59,samsung,SM-G965,갤럭시S9 Plus,GalaxyS9 Plus,https://namu.wiki/w/SM-G965,,
60,samsung,SM-G950,갤럭시S8,GalaxyS8,https://namu.wiki/w/SM-G950,,
61,samsung,SM-G955,갤럭시S8 Plus,GalaxyS8 Plus,https://namu.wiki/w/SM-G955,,
62,samsung,SM-G930,갤럭시S7,GalaxyS7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS7,,
63,samsung,SM-G935,갤럭시S7 Edge,GalaxyS7 Edge,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S7%20%EC%97%A3%EC%A7%80,,
64,samsung,SM-G928,갤럭시S6 Edge Plus,GalaxyS6 Edge Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S6%20%EC%97%A3%EC%A7%80%2B?from=Galaxy%20S6%20Edge%20Plus,,
65,samsung,SM-G925,갤럭시S6 Edge,GalaxyS6 Edge,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S6%20%EC%97%A3%EC%A7%80?from=s6%20%EC%97%A3%EC%A7%80,,
66,samsung,SM-G920,갤럭시S6,GalaxyS6,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS6,,
67,samsung,SM-G900,갤럭시S5,GalaxyS5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S5,,
68,samsung,SM-G906,갤럭시S5 LTE-A,GalaxyS5 LTE-A,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS5,,
69,samsung,SHV-E300,갤럭시S4 ,GalaxyS4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4,,
70,samsung,SHV-E330,갤럭시S4 LTE-A,GalaxyS4 LTE-A,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4,,
71,samsung,SHV-E470,갤럭시S4 Active,GalaxyS4 Active,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S4%20Active,,
72,samsung,SM-C105,갤럭시S4 Zoom,GalaxyS4 Zoom,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS4%20Zoom,,
73,samsung,SHV-E370,갤럭시S4 Mini,GalaxyS4 Mini,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S4%20mini,,
74,samsung,SHV-E210,갤럭시S3 LTE,GalaxyS3 LTE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS3%20LTE,,
75,samsung,SHV-M440,갤럭시S3 3G,GalaxyS3 3G,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S%20III?from=%EA%B0%A4%EB%9F%AD%EC%8B%9CS3,,
76,samsung,SHW-M250,갤럭시S2 ,GalaxyS2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS2,,
77,samsung,SHV-E120,갤럭시S2 HD LTE,GalaxyS2 HD LTE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S%20II%20HD%20LTE,,
78,samsung,SHV-E110,갤럭시S2 LTE,GalaxyS2 LTE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS2,,
79,samsung,SHW-M110,갤럭시S,GalaxyS,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS,,
80,samsung,SHW-M190,갤럭시S Hoppin,GalaxyS Hoppin,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S%20%ED%98%B8%ED%95%80,,
81,samsung,SM-G720,갤럭시그랜드 맥스,GalaxyGrand Max,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EB%A7%A5%EC%8A%A4,,
82,samsung,SM-G710,갤럭시그랜드2,GalaxyGrand2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EA%B7%B8%EB%9E%9C%EB%93%9C2,,
83,samsung,SHV-E270,갤럭시그랜드,GalaxyGrand,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EA%B7%B8%EB%9E%9C%EB%93%9C,,
84,samsung,SM-N971,갤럭시노트10,GalaxyNote10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B810,,
85,samsung,SM-N976,갤럭시노트10 Plus,GalaxyNote10 Plus,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B810%2B,,
86,samsung,SM-N960,갤럭시노트9,GalaxyNote9,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B89,,
87,samsung,SM-N950,갤럭시노트8,GalaxyNote8,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B88,,
88,samsung,SM-N935,갤럭시노트FE,GalaxyNoteFE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B8%20FE?from=%EB%85%B8%ED%8A%B8%20FE,,
89,samsung,SM-N930,갤럭시노트7,GalaxyNote7,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B87,,
90,samsung,SM-N920,갤럭시노트5,GalaxyNote5,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B85,,
91,samsung,SM-N910,갤럭시노트4,GalaxyNote4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B84,,
92,samsung,SM-N916,갤럭시노트4 S-LTE,GalaxyNote4 S-LTE,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B84,,
93,samsung,SM-N915,갤럭시노트4 Edge,GalaxyNote4 Edge,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B84,,
94,samsung,SM-N900,갤럭시노트3,GalaxyNote3,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B83,,
95,samsung,SM-N750,갤럭시노트3 Neo,GalaxyNote3 Neo,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B83%20%EB%84%A4%EC%98%A4,,
96,samsung,SHV-E250,갤럭시노트2,GalaxyNote2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B8%20II,,
97,samsung,SHV-E160,갤럭시노트,GalaxyNote,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EB%85%B8%ED%8A%B8,,
98,samsung,SM-G160,갤럭시폴더2,GalaxyFolder2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%8D%942,,
99,samsung,SM-G610,갤럭시 온7 2016,Galaxy On7 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20On7(2016),,
100,samsung,SM-G600,갤럭시와이드,GalaxyWide,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C,,
101,samsung,SM-J737,갤럭시와이드3,GalaxyWide3,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C3,,
102,samsung,SM-G850,갤럭시알파,GalaxyAlpha,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%95%8C%ED%8C%8C,,
103,samsung,SHW-M585,갤럭시코어,GalaxyCore,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%BD%94%EC%96%B4,,
104,samsung,SHW-M580,갤럭시코어 Safe,GalaxyCore Safe,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%BD%94%EC%96%B4?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%BD%94%EC%96%B4%20%EC%84%B8%EC%9D%B4%ED%94%84,,
105,samsung,SHW-M570,갤럭시코어 Advance,GalaxyCore Advance,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%BD%94%EC%96%B4%20%EC%96%B4%EB%93%9C%EB%B0%B4%EC%8A%A4,,
106,samsung,SM-T255,갤럭시W,GalaxyW,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20W,,
107,samsung,SM-C115,갤럭시줌2,GalaxyZoom2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%A4%8C2,,
108,samsung,SHV-E500,갤럭시윈,GalaxyWin,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Win?from=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%9C%88,,
109,samsung,SM-G910,갤럭시라운드,GalaxyRound,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%9D%BC%EC%9A%B4%EB%93%9C,,
110,samsung,SHV-E400,갤럭시골든,GalaxyGolden,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EA%B3%A8%EB%93%A0,,
111,samsung,SHV-E310,갤럭시메가 6.3,GalaxyMega 6.3,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%A9%94%EA%B0%80%206.3,,
112,samsung,SHV-E220,갤럭시팝,GalaxyPop,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%ED%8C%9D,,
113,samsung,SHV-E170,갤럭시R style,GalaxyR style,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20R%20%EC%8A%A4%ED%83%80%EC%9D%BC,,
