pl_id,pl_maker,pl_group,pl_model_code,pl_name,pl_model_name,,링크제목,나무위키링크단품,나무위키링크시리즈
1,apple,apple,A2221,아이폰11,iphone11,,iPhone 11,https://namu.wiki/w/iPhone%2011,
2,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,,iPhone 11 Pro,https://namu.wiki/w/iPhone%2011%20Pro,
3,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,,iPhone 11 Pro Max,https://namu.wiki/w/iPhone%2011%20Pro%20Max,
4,apple,apple,A2097,아이폰Xs,iphoneXs,,iPhone XS,https://namu.wiki/w/iPhone%20XS,
5,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,,iPhone XS Max,https://namu.wiki/w/iPhone%20XS%20Max,
6,apple,apple,A2105,아이폰Xr,iphoneXr,,iPhone XR,https://namu.wiki/w/iPhone%20XR,
7,apple,apple,A1901,아이폰X,iphoneX,,iPhone X,https://namu.wiki/w/iPhone%20X,
8,apple,apple,A1905,아이폰8,iphone8,,iPhone 8,https://namu.wiki/w/iPhone%208,
9,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,,iPhone 8 Plus,https://namu.wiki/w/iPhone%208%20Plus,
10,apple,apple,A1778,아이폰7,iphone7,,iPhone 7,https://namu.wiki/w/iPhone%207,
11,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,,iPhone 7 Plus,https://namu.wiki/w/iPhone%207%20Plus,
12,apple,apple,A1723,아이폰SE,iphoneSE,,iPhone SE,https://namu.wiki/w/iPhone%20SE,
13,apple,apple,A1688,아이폰6s,iphone6s,,iPhone 6s,https://namu.wiki/w/iPhone%206s,
14,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,,iPhone 6s Plus,https://namu.wiki/w/iPhone%206s%20Plus,
15,apple,apple,A1586,아이폰6,iphone6,,iPhone 6,https://namu.wiki/w/iPhone%206,
16,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,,iPhone 6 Plus,https://namu.wiki/w/iPhone%206%20Plus,
17,apple,apple,A1530,아이폰5s,iphone5s,,iPhone 5s,https://namu.wiki/w/iPhone%205s,
18,apple,apple,A1532,아이폰5c,iphone5c,,iPhone 5c,https://namu.wiki/w/iPhone%205c,
19,apple,apple,A1428,아이폰5,iphone5,,iPhone 5,https://namu.wiki/w/iPhone%205,
20,apple,apple,A1387,아이폰4s,iphone4s,,아이폰4s,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B04s,
21,apple,apple,A1332,아이폰4,iphone4,,iPhone 4,https://namu.wiki/w/iPhone%204,
22,samsung,a_series,SM-A908,갤럭시 A90 5G,Galaxy A90 5G,,갤럭시 A90 5G,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A90%205G,
23,samsung,a_series,SM-A505,갤럭시 A50,Galaxy A50,,갤럭시 A50,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A50,
24,samsung,a_series,SM-A405,갤럭시 A40,Galaxy A40,,갤럭시 A40,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A40,
25,samsung,a_series,SM-A305,갤럭시 A30,Galaxy A30,,갤럭시 A30,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A30,
26,samsung,samsung,SM-A205,갤럭시 와이드4,Galaxy Wide4,,갤럭시 와이드4,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C4,
27,samsung,a_series,SM-G887,갤럭시 A9 Pro,Galaxy A9 Pro,,갤럭시 A9,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9,
28,samsung,a_series,SM-G885,갤럭시 A8 Star,Galaxy A8 Star,,갤럭시 A9,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9,
29,samsung,a_series,SM-A920,갤럭시 A9 2018,Galaxy A9 2018,,갤럭시 A9(2018),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9(2018),
30,samsung,a_series,SM-A530,갤럭시 A8 2018,Galaxy A8 2018,,갤럭시 A8 2018,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%202018,
31,samsung,a_series,SM-A600,갤럭시 A6 2018,Galaxy A6 2018,,갤럭시 A6,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A6,
32,samsung,a_series,SM-A750,갤럭시 A7 2018,Galaxy A7 2018,,갤럭시 A7(2018),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2018),
33,samsung,a_series,SM-A520,갤럭시 A5 2017,Galaxy A5 2017,,갤럭시 A5(2017),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A5(2017),
34,samsung,a_series,SM-A810,갤럭시 A8 2016,Galaxy A8 2016,,갤럭시 A8 2016,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A8%202016,
35,samsung,a_series,SM-A310,갤럭시 A3 2016,Galaxy A3 2016,,갤럭시 A3(2016),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A3(2016),
